iter	Passed	Remaining
713	804	322
714	805	320
715	806	319
716	807	318
717	808	317
718	809	316
719	809	314
720	810	313
721	811	312
722	813	311
723	814	310
724	815	309
725	816	308
726	817	307
727	818	305
728	819	304
729	820	303
730	821	302
731	822	301
732	823	300
733	824	298
734	825	297
735	826	296
736	828	295
737	829	294
738	830	293
739	831	292
740	832	290
741	832	289
742	833	288
743	834	287
744	835	286
745	836	284
746	837	283
747	838	282
748	839	281
749	840	280
750	841	278
751	842	277
752	843	276
753	844	275
754	845	274
755	846	273
756	847	272
757	848	270
758	849	269
759	850	268
760	851	267
761	852	266
762	853	265
763	854	263
764	855	262
765	856	261
766	857	260
767	858	259
768	859	258
769	860	257
770	861	255
771	862	254
772	864	253
773	865	252
774	866	251
775	868	250
776	869	249
777	870	248
778	876	248
779	878	247
780	879	246
781	880	245
782	881	244
783	882	243
784	883	242
785	884	240
786	886	239
787	887	238
788	889	237
789	891	236
790	892	235
791	893	234
792	894	233
793	896	232
794	897	231
795	898	230
796	899	229
797	901	228
798	902	227
799	904	226
800	905	224
801	906	223
802	907	222
803	908	221
804	909	220
805	910	219
806	911	217
807	912	216
808	913	215
809	914	214
810	915	213
811	916	212
812	918	211
813	920	210
814	921	209
815	922	208
816	924	206
817	925	205
818	926	204
819	927	203
820	928	202
821	929	201
822	930	200
823	931	198
824	932	197
825	933	196
826	934	195
827	935	194
828	936	193
829	937	192
830	938	190
831	939	189
832	940	188
833	941	187
834	942	186
835	943	185
836	945	184
837	946	182
838	947	181
839	948	180
840	949	179
841	950	178
842	951	177
843	952	175
844	953	174
845	954	173
846	955	172
847	956	171
848	956	170
849	957	169
850	959	167
851	960	166
852	961	165
853	962	164
854	963	163
855	964	162
856	965	161
857	966	159
858	967	158
859	968	157
860	969	156
861	970	155
862	970	154
863	971	152
864	973	151
865	974	150
866	975	149
867	976	148
868	977	147
869	978	146
870	979	145
871	980	143
872	981	142
873	982	141
874	983	140
875	984	139
876	985	138
877	986	137
878	987	135
879	988	134
880	989	133
881	990	132
882	991	131
883	992	130
884	994	129
885	995	128
886	996	127
887	998	125
888	999	124
889	999	123
890	1000	122
891	1001	121
892	1003	120
893	1004	119
894	1005	117
895	1006	116
896	1007	115
897	1008	114
898	1009	113
899	1010	112
900	1011	111
901	1012	110
902	1013	108
903	1014	107
904	1015	106
905	1016	105
906	1017	104
907	1018	103
908	1019	102
909	1021	100
910	1022	99
911	1023	98
912	1024	97
913	1025	96
914	1025	95
915	1026	94
916	1027	93
917	1028	91
918	1029	90
919	1030	89
920	1031	88
921	1032	87
922	1034	86
923	1035	85
924	1036	84
925	1037	82
926	1038	81
927	1039	80
928	1040	79
929	1040	78
930	1041	77
931	1042	76
932	1043	74
933	1045	73
934	1046	72
935	1047	71
936	1048	70
937	1049	69
938	1050	68
939	1051	67
940	1052	66
941	1054	64
942	1055	63
943	1056	62
944	1057	61
945	1058	60
946	1059	59
947	1060	58
948	1061	57
949	1062	55
950	1064	54
951	1065	53
952	1066	52
953	1067	51
954	1068	50
955	1069	49
956	1070	48
957	1071	46
958	1072	45
959	1073	44
960	1074	43
961	1075	42
962	1076	41
963	1077	40
964	1078	39
965	1080	38
966	1081	36
967	1082	35
968	1083	34
969	1084	33
970	1085	32
971	1086	31
972	1087	30
973	1088	29
974	1089	27
975	1090	26
976	1091	25
977	1093	24
978	1094	23
979	1095	22
980	1096	21
981	1097	20
982	1098	19
983	1099	17
984	1100	16
985	1101	15
986	1102	14
987	1103	13
988	1104	12
989	1106	11
990	1107	10
991	1108	8
992	1109	7
993	1111	6
994	1111	5
995	1112	4
996	1113	3
997	1114	2
998	1115	1
999	1117	0
